texte,auteur,tags,token
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,"['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']",rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,"['books', 'contentment', 'friends', 'friendship', 'life']",rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
“Life is what happens to us while we are making other plans.”,Allen Saunders,"['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans']",rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,"['love', 'poetry']",rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,"['humor', 'religion']",rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,['humor'],rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,"['comedy', 'life', 'yourself']",rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,"['death', 'inspirational']",rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"['chocolate', 'food', 'humor']",rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
“It is never too late to be what you might have been.”,George Eliot,['inspirational'],rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,"['books', 'inspirational', 'reading', 'tea']",rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,"['girls', 'love']",rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,"['life', 'simile']",rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,['love'],rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,"['hope', 'inspirational']",rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,['love'],rJiUnbpvBMZqXVEYfLuomTeQAWhDyIGxCtaOwSzgFdPKjlcRHsNk
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"['books', 'library']",
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,"['books', 'thought']",
“There is no friend as loyal as a book.”,Ernest Hemingway,"['books', 'friends', 'novelist-quotes']",
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,"['authors', 'books', 'literature', 'reading', 'writing']",
“′Classic′ - a book which people praise and don't read.”,Mark Twain,"['books', 'classic', 'reading']",
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,"['books', 'library', 'reading']",
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,"['books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing']",
"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"['books', 'mind']",
